x,y,heading,curvature,speed
21.3677,55.5254,-1.0794,0.361617,3.961
21.65,54.8051,-1.2741,0.189614,4.84
21.8293,54.0156,-1.4055,0.137917,5.615
21.921,53.1805,-1.5048,0.100232,6.319
21.9417,52.3152,-1.5786,0.071801,6.97
21.9073,51.4316,-1.6323,0.050342,7.0
21.8324,50.5391,-1.6698,0.033982,7.0
21.7299,49.6457,-1.6946,0.021446,7.0
21.6109,48.7588,-1.7093,0.011516,7.0
21.4845,47.885,-1.7159,0.003205,7.0
21.3582,47.0291,-1.7155,0.004304,7.0
21.2376,46.1909,-1.7088,0.011435,7.0
21.1266,45.3623,-1.6971,0.016558,7.0
21.0278,44.5386,-1.682,0.019792,7.0
20.9429,43.7173,-1.6647,0.022111,7.0
20.8731,42.8962,-1.6457,0.023971,7.0
20.8195,42.0727,-1.6253,0.025344,7.0
20.7829,41.2418,-1.6038,0.025963,7.0
20.7641,40.3958,-1.582,0.025265,7.0
20.7637,39.5235,-1.5608,0.023007,7.0
20.782,38.6108,-1.5394,0.024275,7.0
20.8219,37.6717,-1.5126,0.033973,7.0
20.8904,36.75,-1.4735,0.053669,7.0
20.9953,35.8947,-1.4135,0.092256,7.0
21.1446,35.1471,-1.3225,0.152803,6.469
21.347,34.5077,-1.2013,0.197388,5.738
21.6159,33.9301,-1.0783,0.173791,6.116
21.9558,33.3731,-0.9849,0.108663,6.628
22.3636,32.8036,-0.9285,0.054509,7.0
22.8343,32.1987,-0.9027,0.01599,7.0
23.3589,31.5423,-0.9046,0.017989,6.489
23.9013,30.8415,-0.9496,0.093449,5.556
24.341,30.17,-1.0841,0.291265,4.685
24.5714,29.5752,-1.3651,0.504406,3.59
24.5999,28.9288,-1.6635,0.336705,4.394
24.4376,28.1354,-1.8405,0.1461,5.235
24.1375,27.2562,-1.9363,0.076686,6.057
23.7649,26.3777,-1.9968,0.054164,6.8
23.365,25.5537,-2.0438,0.047581,7.0
22.9429,24.7713,-2.0823,0.038172,7.0
22.5008,24.0141,-2.1114,0.028018,7.0
22.0444,23.2745,-2.1319,0.019022,7.0
21.58,22.549,-2.145,0.011291,7.0
21.1143,21.8367,-2.1515,0.003959,7.0
20.6536,21.1372,-2.1516,0.003946,7.0
20.2031,20.4482,-2.1445,0.013219,7.0
19.7653,19.7626,-2.1297,0.022985,7.0
19.339,19.0665,-2.1076,0.030852,7.0
18.924,18.3488,-2.0792,0.037503,7.0
18.525,17.6058,-2.0447,0.044174,7.0
18.1491,16.838,-2.004,0.051346,7.0
17.8045,16.0478,-1.9566,0.058673,7.0
17.4991,15.2379,-1.9033,0.064652,7.0
17.2389,14.4098,-1.8465,0.065789,7.0
17.0251,13.5623,-1.7925,0.057171,7.0
16.8508,12.6879,-1.7451,0.049431,6.803
16.7135,11.7936,-1.6986,0.056234,5.839
16.6246,10.9281,-1.6407,0.083369,4.816
16.5984,10.1499,-1.561,0.137211,3.784
16.6385,9.5175,-1.4238,0.373078,2.837
16.756,9.0852,-1.068,1.625473,2.0
16.9782,8.8998,-0.1858,2.525714,1.604
17.3576,8.9721,0.3814,0.636201,2.537
17.8859,9.2639,0.59,0.223439,3.531
18.4901,9.7304,0.7313,0.174833,4.484
19.079,10.3343,0.825,0.063006,5.342
19.6422,10.9774,0.8454,0.013791,5.821
20.2336,11.6367,0.7869,0.127696,4.728
20.847,12.186,0.5724,0.487844,3.65
21.4485,12.4194,0.1946,0.389188,4.087
22.3435,12.481,0.0326,0.078996,5.067
23.2586,12.4785,0.0297,0.100602,5.29
23.9041,12.5275,0.1752,0.331603,4.427
24.4792,12.6946,0.3975,0.328649,4.447
25.0918,13.0261,0.569,0.182752,5.171
25.7344,13.4973,0.6774,0.106066,5.892
26.3682,14.0528,0.7525,0.077362,6.568
26.9687,14.6528,0.8135,0.06676,7.0
27.5349,15.2868,0.8665,0.058084,7.0
28.0702,15.9493,0.9124,0.049637,7.0
28.578,16.6353,0.9513,0.041515,7.0
29.0622,17.3403,0.9835,0.033812,7.0
29.5267,18.0606,1.0094,0.02661,7.0
29.9755,18.7925,1.0294,0.019979,7.0
30.4122,19.5331,1.044,0.013973,7.0
30.8404,20.2795,1.0537,0.008654,7.0
31.2633,21.0295,1.0592,0.004082,7.0
31.6835,21.7811,1.0611,0.000301,7.0
32.1034,22.5324,1.0601,0.002666,7.0
32.5247,23.2822,1.0568,0.004823,7.0
32.9485,24.0292,1.0521,0.006198,7.0
33.3755,24.7727,1.0465,0.006833,7.0
33.8058,25.5119,1.0407,0.006785,7.0
34.2392,26.2465,1.0352,0.006122,7.0
34.675,26.9765,1.0305,0.00492,7.0
35.1123,27.7021,1.027,0.003275,7.0
35.5505,28.4245,1.0251,0.00132,7.0
35.9886,29.1451,1.0248,0.00078,7.0
36.4257,29.8652,1.0264,0.002846,7.0
36.861,30.586,1.0296,0.004695,7.0
37.2935,31.3087,1.0341,0.00615,7.0
37.7226,32.0344,1.0397,0.007046,7.0
38.1482,32.7637,1.0457,0.007233,7.0
38.5701,33.4973,1.0516,0.006584,7.0
