x,y,heading,curvature,speed
28.2598,40.8668,0.6113,1.099679,2.431
28.4703,40.9773,0.3541,0.982811,2.572
28.7253,41.0389,0.1347,0.664964,3.039
29.0324,41.0534,-0.0182,0.349052,3.509
29.4065,41.0265,-0.1064,0.154264,4.008
29.85,40.9661,-0.1484,0.05355,4.532
30.3317,40.8882,-0.1597,0.002938,5.042
30.8106,40.8114,-0.1461,0.058211,5.502
31.2488,40.7533,-0.1062,0.134596,5.143
31.6306,40.7241,-0.0352,0.24315,4.658
31.9697,40.7279,0.0699,0.37496,4.164
32.2787,40.7694,0.2066,0.488651,3.647
32.5659,40.8529,0.3638,0.541549,3.464
32.8352,40.9813,0.5253,0.524289,3.521
33.0878,41.1554,0.678,0.462757,3.748
33.3229,41.374,0.8147,0.388133,4.092
33.539,41.6338,0.9337,0.318706,4.486
33.7349,41.9307,1.0362,0.260664,4.867
33.9097,42.2599,1.1241,0.214193,5.235
34.0632,42.6162,1.1996,0.177503,5.594
34.1957,42.9948,1.2646,0.148548,5.941
34.308,43.3906,1.3207,0.125611,6.278
34.4011,43.7987,1.3693,0.10737,6.603
34.4764,44.2146,1.4113,0.092267,6.916
34.5356,44.6354,1.4476,0.078629,7.0
34.581,45.0596,1.4784,0.065935,7.0
34.6144,45.4859,1.5041,0.054283,7.0
34.638,45.9131,1.5251,0.043735,7.0
34.6535,46.34,1.5417,0.034302,7.0
34.6628,46.7656,1.5545,0.025925,7.0
34.6673,47.1888,1.5639,0.01853,7.0
34.6686,47.6085,1.5703,0.01199,7.0
34.6677,48.0237,1.5741,0.006063,7.0
34.6658,48.4344,1.5755,0.000592,7.0
34.6639,48.8412,1.5747,0.004474,7.0
34.6627,49.2446,1.5719,0.009201,7.0
34.6629,49.6452,1.5674,0.013642,7.0
34.6654,50.0436,1.5611,0.017821,7.0
34.6707,50.4403,1.5533,0.021715,7.0
34.6793,50.8358,1.544,0.025253,7.0
34.6919,51.2308,1.5334,0.02831,7.0
34.7089,51.6257,1.5217,0.03072,7.0
34.7307,52.021,1.5092,0.032284,7.0
34.7577,52.4173,1.4963,0.03279,7.0
34.79,52.8151,1.4833,0.032049,7.0
34.8276,53.2149,1.4709,0.02996,7.0
34.8704,53.6174,1.4595,0.026345,7.0
34.918,54.0231,1.4498,0.020997,7.0
34.9696,54.4328,1.4426,0.01401,7.0
35.0242,54.8474,1.4385,0.005624,7.0
35.0807,55.2679,1.4381,0.003727,7.0
35.1374,55.6953,1.4419,0.013753,7.0
35.1922,56.1282,1.4503,0.024517,7.0
35.2426,56.564,1.4636,0.036267,7.0
35.286,56.9998,1.4822,0.049404,7.0
35.3197,57.4326,1.5068,0.064368,7.0
35.3411,57.8596,1.5379,0.081588,7.0
35.3476,58.2783,1.576,0.1011,7.0
